total_points,position,was_home,opponent_team,average_goals_per_90,average_assists_per_90,average_ict_per_90,average_goals_conceded_per_90,value,average_influence_per_90,average_creativity_per_90,average_threat_per_90
0,3,False,17,0.0,0.0,13.021276595744684,1.9148936170212767,56.0,30.25531914893617,70.27659574468085,34.46808510638298
0,3,True,16,0.0,0.0,13.021276595744684,1.9148936170212767,56.0,30.25531914893617,70.27659574468085,34.46808510638298
6,3,False,7,0,0,0,0,80.0,0,0,0
2,3,True,10,0,0,0,0,80.0,0,0,0
3,3,False,3,0.0,1.0,4.5,0.0,80.0,1.8,7.6,36.0
5,3,True,9,0.0,0.5202312138728323,6.554913294797688,1.0404624277456647,79.0,8.115606936416187,26.791907514450866,30.69364161849711
5,3,True,2,0.0,0.34615384615384615,6.092307692307693,0.6923076923076923,79.0,9.553846153846154,28.17692307692308,23.192307692307693
7,3,False,14,0.0,0.5142857142857142,7.045714285714285,0.7714285714285715,78.0,14.297142857142857,27.46285714285715,28.8
9,3,False,4,0.0,0.6178489702517163,8.03203661327231,0.8237986270022883,78.0,16.51716247139588,30.789473684210527,33.1578947368421
2,3,True,18,0.17077798861480076,0.5123339658444023,8.453510436432637,1.1954459203036054,78.0,19.537001897533205,28.690702087286528,36.37571157495256
15,3,True,12,0.1458670988654781,0.7293354943273906,8.927066450567262,1.0210696920583469,78.0,22.901134521880063,30.60291734197731,35.883306320907614
9,3,False,11,0.1272984441301273,0.6364922206506365,9.369165487977371,1.0183875530410185,78.0,22.68458274398868,35.49080622347949,35.64356435643565
1,3,False,17,0.33877038895859474,0.5646173149309912,10.253450439146802,1.1292346298619824,79.0,28.117942283563362,31.900878293601004,42.57214554579674
0,3,True,16,0.41002277904328016,0.5125284738041003,10.076309794988612,1.0250569476082005,80.0,29.357630979498857,30.83371298405467,40.59225512528474
0,2,False,7,0,0,0,0,45.0,0,0,0
0,2,True,10,0,0,0,0,44.0,0,0,0
1,2,False,3,0,0,0.0,0,44.0,0.0,0.0,0.0
1,2,True,9,0.0,0.0,0.0,0.0,43.0,0.0,1.8,0.0
1,2,True,2,0.0,0.0,1.2,0.0,43.0,11.4,2.0999999999999996,0.0
1,2,False,14,0.0,0.0,1.1612903225806452,0.0,42.0,11.03225806451613,2.032258064516129,0.0
1,2,False,4,0.0,0.0,4.263157894736842,1.5789473684210527,42.0,19.263157894736842,18.157894736842106,6.315789473684211
1,2,True,18,0.0,0.0,4.298507462686567,1.3432835820895523,42.0,22.567164179104473,16.52238805970149,5.373134328358209
1,2,True,12,0.0,0.0,4.309859154929577,1.267605633802817,42.0,22.309859154929573,16.47887323943662,5.070422535211268
6,2,False,11,0.0,0.0,4.25,1.25,42.0,21.999999999999996,16.375,5.0
2,2,False,17,0.0,0.0,3.388888888888889,1.6666666666666667,42.0,21.88888888888889,10.333333333333334,2.2222222222222223
0,2,True,16,0.0,0.0,2.6785714285714284,1.0714285714285714,42.0,18.5,7.107142857142858,1.4285714285714286
6,1,False,7,0,0,0,0,50.0,0,0,0
1,1,True,10,0,0,0,0,50.0,0,0,0
6,1,False,3,0.0,0.0,1.9,0.0,50.0,19.0,0.0,0.0
2,1,True,9,0.0,0.0,1.5499999999999996,1.0,50.0,15.3,0.0,0.0
2,1,True,2,0.0,0.0,1.2999999999999998,0.6666666666666666,50.0,12.733333333333334,0.0,0.0
2,1,False,14,0.0,0.0,1.4499999999999997,0.75,50.0,14.25,0.0,0.0
6,1,False,4,0.0,0.0,1.4999999999999998,0.8,49.0,14.880000000000003,0.0,0.0
2,1,True,18,0.0,0.0,1.6666666666666667,1.1666666666666667,49.0,16.6,0.0,0.0
1,1,True,12,0.0,0.0,1.6857142857142857,1.0,49.0,16.771428571428572,0.0,0.0
10,1,False,11,0.0,0.0,1.7125,1.0,49.0,17.075,0.0,0.0
2,1,False,17,0.0,0.0,1.666666666666667,1.1111111111111112,49.0,16.577777777777776,0.0,0.0
0,1,True,16,0.0,0.0,1.85,1.0,49.0,18.4,0.0,0.0
7,2,False,7,0,0,0,0,50.0,0,0,0
1,2,True,10,0,0,0,0,50.0,0,0,0
7,2,False,3,0.0,0.0,2.7,0.0,50.0,24.2,0.6,2.0
9,2,True,9,0.0,0.0,2.4000000000000004,1.0,50.0,18.7,1.2,4.0
2,2,True,2,0.0,0.0,2.4333333333333336,0.6666666666666666,50.0,19.066666666666666,1.3,4.0
1,2,False,14,0.25,0.0,4.175000000000001,0.75,51.0,25.85,4.125,11.75
6,2,False,4,0.2,0.0,5.100000000000001,0.8,51.0,24.160000000000004,3.56,23.2
2,2,True,18,0.16666666666666666,0.0,4.666666666666668,1.1666666666666667,51.0,22.46666666666667,3.1333333333333333,21.0
1,2,True,12,0.14285714285714285,0.0,4.257142857142858,1.0,51.0,21.571428571428573,2.8428571428571434,18.142857142857142
8,2,False,11,0.125,0.0,3.9250000000000007,1.0,51.0,20.2,2.9125,16.125
2,2,False,17,0.1111111111111111,0.0,3.744444444444445,1.1111111111111112,51.0,20.466666666666665,2.6777777777777776,14.333333333333334
0,2,True,16,0.1,0.0,3.9700000000000006,1.0,51.0,22.639999999999997,2.44,14.6
0,2,False,7,0,0,0,0,45.0,0,0,0
0,2,True,10,0,0,0,0,45.0,0,0,0
0,2,False,3,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,9,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,2,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,False,14,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,False,4,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,18,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,12,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,False,11,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,False,17,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,16,0,0,0.0,0,45.0,0.0,0.0,0.0
1,3,False,7,0,0,0,0,45.0,0,0,0
0,3,True,10,0,0,0,0,45.0,0,0,0
1,3,False,3,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0,3,True,9,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
2,3,True,2,0.0,0.0,0.0,0.0,44.0,0.0,9.0,0.0
2,3,False,14,0.0,0.0,0.0,0.0,44.0,0.0,9.0,0.0
1,3,False,4,0.0,0.0,1.6451612903225807,0.967741935483871,44.0,10.451612903225808,6.290322580645161,0.0
1,3,True,18,0.0,0.0,2.0060240963855422,1.6265060240963856,44.0,9.867469879518074,10.246987951807228,0.0
0,3,True,12,0.0,0.0,2.0224719101123596,1.5168539325842696,44.0,10.011235955056183,10.01123595505618,0.0
0,3,False,11,0.0,0.0,2.076923076923077,1.3846153846153846,44.0,9.87692307692308,10.753846153846151,0.0
0,3,False,17,0.0,0.0,2.076923076923077,1.3846153846153846,44.0,9.87692307692308,10.753846153846151,0.0
0,3,True,16,0.0,0.0,2.076923076923077,1.3846153846153846,44.0,9.87692307692308,10.753846153846151,0.0
8,3,False,7,0,0,0,0,60.0,0,0,0
8,3,True,10,0,0,0,0,61.0,0,0,0
6,3,False,3,1.0,0.0,9.2,0.0,63.0,38.2,15.2,39.0
2,3,True,9,1.0,0.0,10.05,1.0,64.0,40.3,33.5,27.0
10,3,True,2,0.7086614173228346,0.3543307086614173,8.468503937007874,0.7086614173228346,64.0,29.267716535433067,25.97244094488189,29.763779527559056
2,3,False,14,0.5232558139534884,0.2616279069767442,11.119186046511627,0.7848837209302325,65.0,28.36046511627907,34.61337209302326,48.401162790697676
3,3,False,4,0.6221198156682027,0.2073732718894009,11.799539170506913,0.8294930875576036,65.0,31.603686635944698,33.80184331797235,52.672811059907836
4,3,True,18,0.5152671755725191,0.1717557251908397,11.456106870229007,1.202290076335878,66.0,28.13358778625954,33.68129770992366,52.729007633587784
12,3,True,12,0.4492512479201331,0.1497504159733777,10.88685524126456,1.0482529118136439,66.0,26.386023294509148,33.04991680532446,49.417637271214645
3,3,False,11,0.3907380607814761,0.26049204052098407,10.797395079594791,1.0419681620839363,66.0,26.387843704775687,32.28798842257597,49.23299565846599
2,3,False,17,0.46094750320102434,0.34571062740076824,10.924455825864278,1.1523687580025608,67.0,29.247119078104994,31.47119078104993,48.51472471190781
0,3,True,16,0.4133180252583238,0.3099885189437428,10.239954075774971,1.0332950631458093,68.0,27.030998851894378,29.593570608495977,45.77497129735936
0,2,False,7,0,0,0,0,45.0,0,0,0
0,2,True,10,0,0,0,0,45.0,0,0,0
0,2,False,3,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,9,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,2,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,False,14,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,False,4,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,18,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,12,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,False,11,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,False,17,0,0,0.0,0,45.0,0.0,0.0,0.0
0,2,True,16,0,0,0.0,0,45.0,0.0,0.0,0.0
0,3,False,7,0,0,0,0,50.0,0,0,0
0,3,True,10,0,0,0,0,50.0,0,0,0
0,3,False,3,0,0,0.0,0,49.0,0.0,0.0,0.0
0,3,True,9,0,0,0.0,0,48.0,0.0,0.0,0.0
